Tecnica,Modelo,Parametros,fit_kwargs,Tiempo,Accuracy Todas,Accuracy Aceptadas,F1 score Todas,F1 score Aceptadas,len(rejected),Rejected
BorutaShap,RandomForestClassifier(),{},{},5.694801092147827,0.966931216931217,0.9715608465608465,0.96,0.9677419354838709,1,['texture_se']
BorutaShap,"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=150)",{},{},15.826944351196289,0.9715608465608465,0.9794973544973544,0.9677419354838709,0.976,7,"['fractal_dimension_se', 'compactness_se', 'smoothness_se', 'symmetry_mean', 'texture_se', 'fractal_dimension_mean', 'fractal_dimension_worst']"
BorutaShap,"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=250)",{},{},25.1411554813385,0.9794973544973544,0.9794973544973544,0.976,0.976,7,"['fractal_dimension_se', 'symmetry_se', 'compactness_se', 'smoothness_se', 'texture_se', 'fractal_dimension_mean', 'fractal_dimension_worst']"
BorutaShap,"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=350)",{},{},35.69678544998169,0.9748677248677249,0.9715608465608465,0.9682539682539683,0.9677419354838709,4,"['smoothness_se', 'fractal_dimension_mean', 'fractal_dimension_se', 'texture_se']"
BorutaShap,DecisionTreeClassifier(),{},{},0.47452831268310547,0.9378306878306879,0.9093915343915344,0.9104477611940299,0.8787878787878787,21,"['concave points_mean', 'area_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'texture_worst', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'perimeter_worst', 'fractal_dimension_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean']"
BorutaShap,"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},{},0.3737320899963379,0.8968253968253967,0.9007936507936507,0.8636363636363636,0.8780487804878048,29,"['radius_worst', 'radius_se', 'area_mean', 'concave points_mean', 'perimeter_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'area_worst', 'area_se', 'texture_worst', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean', 'concavity_worst', 'concavity_mean']"
BorutaShap,"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},{},0.42418456077575684,0.9576719576719577,0.9451058201058201,0.9448818897637795,0.9291338582677166,26,"['radius_se', 'area_mean', 'concave points_mean', 'perimeter_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'texture_worst', 'area_se', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'perimeter_worst', 'fractal_dimension_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean', 'concavity_worst', 'concavity_mean']"
BorutaShap,"XGBClassifier()",{},{},1.719029426574707,0.9497354497354498,0.9576719576719577,0.9365079365079365,0.9448818897637795,18,"['smoothness_worst', 'fractal_dimension_se', 'radius_se', 'symmetry_se', 'perimeter_mean', 'compactness_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'texture_se', 'smoothness_mean', 'concave points_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean']"
BorutaShap,LogisticRegression(),{},{},1.0414164066314697,0.966931216931217,0.9497354497354498,0.96,0.9365079365079365,24,"['radius_worst', 'radius_se', 'concave points_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'concave points_worst', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean', 'concavity_worst', 'concavity_mean']"
BorutaShap,LogisticRegression(max_iter=1000),{},{},6.5722596645355225,0.9748677248677249,0.9623015873015872,0.9682539682539683,0.9523809523809523,21,"['radius_se', 'compactness_se', 'smoothness_mean', 'fractal_dimension_se', 'concave points_worst', 'symmetry_mean', 'perimeter_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'fractal_dimension_worst', 'concavity_worst', 'concavity_mean', 'concave points_mean', 'texture_se', 'smoothness_worst', 'symmetry_se', 'smoothness_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se']"
PowerShap,RandomForestClassifier(n_estimators=10),{},{},0.5310416221618652,0.966931216931217,0.9497354497354498,0.96,0.9365079365079365,21,"['radius_se', 'area_mean', 'compactness_se', 'smoothness_mean', 'fractal_dimension_se', 'symmetry_mean', 'perimeter_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'fractal_dimension_worst', 'concavity_worst', 'perimeter_mean', 'texture_se', 'smoothness_worst', 'symmetry_se', 'smoothness_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se', 'radius_mean']"
PowerShap,RandomForestClassifier(n_estimators=50),{},{},1.5118770599365234,0.9828042328042328,0.9748677248677249,0.9763779527559054,0.9682539682539683,13,"['fractal_dimension_se', 'radius_se', 'symmetry_se', 'compactness_se', 'symmetry_mean', 'smoothness_se', 'compactness_mean', 'texture_se', 'smoothness_mean', 'concave points_se', 'fractal_dimension_mean', 'concavity_se', 'fractal_dimension_worst']"
PowerShap,RandomForestClassifier(),{},{},2.53421950340271,0.9748677248677249,0.9702380952380952,0.9682539682539683,0.9606299212598425,11,"['fractal_dimension_se', 'symmetry_se', 'compactness_se', 'symmetry_mean', 'smoothness_se', 'texture_se', 'smoothness_mean', 'concave points_se', 'fractal_dimension_mean', 'concavity_se', 'fractal_dimension_worst']"
PowerShap,"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=150)",{},{},7.270790100097656,0.9715608465608465,0.966931216931217,0.9677419354838709,0.96,13,"['fractal_dimension_se', 'radius_se', 'symmetry_se', 'compactness_se', 'symmetry_mean', 'smoothness_se', 'texture_se', 'smoothness_mean', 'concave points_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se', 'fractal_dimension_worst']"
PowerShap,"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=250)",{},{},8.329146385192871,0.9794973544973544,0.9794973544973544,0.976,0.976,8,"['fractal_dimension_se', 'symmetry_se', 'compactness_se', 'symmetry_mean', 'smoothness_se', 'texture_se', 'fractal_dimension_mean', 'fractal_dimension_worst']"
PowerShap,"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=350)",{},{},20.694356203079224,0.9748677248677249,0.9794973544973544,0.9682539682539683,0.976,9,"['fractal_dimension_se', 'symmetry_se', 'compactness_se', 'symmetry_mean', 'smoothness_se', 'texture_se', 'concave points_se', 'fractal_dimension_mean', 'fractal_dimension_worst']"
PowerShap,"XGBClassifier()",{},{},0.7121067047119141,0.9497354497354498,0.9623015873015872,0.9365079365079365,0.9523809523809523,22,"['radius_se', 'area_mean', 'compactness_se', 'smoothness_mean', 'fractal_dimension_se', 'symmetry_mean', 'perimeter_se', 'compactness_mean', 'concave points_se', 'fractal_dimension_worst', 'concavity_worst', 'concavity_mean', 'perimeter_mean', 'texture_se', 'area_se', 'smoothness_worst', 'symmetry_se', 'smoothness_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se', 'radius_mean']"
PowerShap,LogisticRegression(),{},{},0.362443208694458,0.966931216931217,0.9556878306878307,0.96,0.9508196721311476,21,"['radius_se', 'compactness_se', 'smoothness_mean', 'fractal_dimension_se', 'concave points_worst', 'symmetry_mean', 'perimeter_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'fractal_dimension_worst', 'concavity_worst', 'concavity_mean', 'concave points_mean', 'texture_se', 'smoothness_worst', 'symmetry_se', 'smoothness_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se']"
PowerShap,LogisticRegression(max_iter=1000),{},{},2.249779462814331,0.9748677248677249,0.9543650793650793,0.9682539682539683,0.944,22,"['radius_se', 'area_mean', 'compactness_se', 'smoothness_mean', 'fractal_dimension_se', 'concave points_worst', 'symmetry_mean', 'perimeter_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'fractal_dimension_worst', 'concavity_worst', 'concavity_mean', 'concave points_mean', 'texture_se', 'smoothness_worst', 'symmetry_se', 'smoothness_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se']"
