Metodo,Modelo,Parametros,fit_kwargs,Tiempo,Accuracy Todas,Accuracy Aceptadas,F1 score Todas,F1 score Aceptadas
BorutaShap,RandomForestClassifier(n_estimators=10),"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},1.228966474533081,0.9484126984126984,0.9702380952380952,0.9302325581395349,0.9606299212598425
BorutaShap,RandomForestClassifier(n_estimators=50),"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},4.327462911605835,0.9484126984126984,0.9517195767195767,0.9302325581395349,0.9312977099236641
BorutaShap,RandomForestClassifier(n_estimators=50),"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},4.35116720199585,0.9484126984126984,0.9517195767195767,0.9302325581395349,0.9312977099236641
BorutaShap,RandomForestClassifier(n_estimators=50),"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},4.466107368469238,0.9484126984126984,0.9517195767195767,0.9302325581395349,0.9312977099236641
BorutaShap,RandomForestClassifier(n_estimators=50),"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},4.353771924972534,0.9484126984126984,0.9517195767195767,0.9302325581395349,0.9312977099236641
BorutaShap,RandomForestClassifier(),"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},8.22670865058899,0.9484126984126984,0.953042328042328,0.9302325581395349,0.9375
BorutaShap,RandomForestClassifier(),"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},8.332505702972412,0.9484126984126984,0.953042328042328,0.9302325581395349,0.9375
BorutaShap,RandomForestClassifier(),"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},8.275485038757324,0.9484126984126984,0.953042328042328,0.9302325581395349,0.9375
BorutaShap,RandomForestClassifier(),"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},8.31536602973938,0.9484126984126984,0.953042328042328,0.9302325581395349,0.9375
BorutaShap,RandomForestRegressor(n_estimators=10),"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},2.175117254257202,0.9484126984126984,0.953042328042328,0.9302325581395349,0.9375
BorutaShap,RandomForestRegressor(n_estimators=10),"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},2.2110860347747803,0.9484126984126984,0.953042328042328,0.9302325581395349,0.9375
BorutaShap,RandomForestRegressor(n_estimators=10),"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},2.210949659347534,0.9484126984126984,0.953042328042328,0.9302325581395349,0.9375
BorutaShap,RandomForestRegressor(n_estimators=10),"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},2.2235794067382812,0.9484126984126984,0.953042328042328,0.9302325581395349,0.9375
BorutaShap,RandomForestRegressor(n_estimators=50),"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},8.745081663131714,0.9484126984126984,0.960978835978836,0.9302325581395349,0.9457364341085271
BorutaShap,RandomForestRegressor(n_estimators=50),"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},8.682487726211548,0.9484126984126984,0.960978835978836,0.9302325581395349,0.9457364341085271
BorutaShap,RandomForestRegressor(n_estimators=50),"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},8.641096830368042,0.9484126984126984,0.960978835978836,0.9302325581395349,0.9457364341085271
BorutaShap,RandomForestRegressor(n_estimators=50),"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},8.656539678573608,0.9484126984126984,0.960978835978836,0.9302325581395349,0.9457364341085271
BorutaShap,RandomForestRegressor(),"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},16.716280937194824,0.9484126984126984,0.960978835978836,0.9302325581395349,0.9457364341085271
BorutaShap,RandomForestRegressor(),"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},17.01035165786743,0.9484126984126984,0.960978835978836,0.9302325581395349,0.9457364341085271
BorutaShap,RandomForestRegressor(),"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},16.998724222183228,0.9484126984126984,0.960978835978836,0.9302325581395349,0.9457364341085271
BorutaShap,RandomForestRegressor(),"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},16.901108264923096,0.9484126984126984,0.960978835978836,0.9302325581395349,0.9457364341085271
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F10>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F10>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F10>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F10>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F70>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F70>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F70>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F70>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15FD0>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15FD0>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15FD0>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C15FD0>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C20070>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C20070>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C20070>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C20070>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C200D0>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C200D0>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C200D0>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C200D0>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C20130>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C20130>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C20130>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostClassifier object at 0x0000020D54C20130>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20190>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20190>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20190>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20190>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C201F0>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C201F0>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C201F0>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C201F0>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20250>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20250>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20250>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20250>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C202B0>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C202B0>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C202B0>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C202B0>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20310>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20310>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20310>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20310>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20370>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20370>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20370>,"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,<catboost.core.CatBoostRegressor object at 0x0000020D54C20370>,"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},,,,,
BorutaShap,DecisionTreeClassifier(),"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},0.5416522026062012,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,DecisionTreeClassifier(),"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},0.545997142791748,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,DecisionTreeClassifier(),"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},0.551292896270752,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,DecisionTreeClassifier(),"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},0.5462541580200195,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)","{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},0.39089417457580566,0.9484126984126984,0.8994708994708995,0.9302325581395349,0.8730158730158731
BorutaShap,"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)","{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},0.39450860023498535,0.9484126984126984,0.8994708994708995,0.9302325581395349,0.8730158730158731
BorutaShap,"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)","{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},0.3958258628845215,0.9484126984126984,0.8994708994708995,0.9302325581395349,0.8730158730158731
BorutaShap,"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)","{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},0.39602088928222656,0.9484126984126984,0.8994708994708995,0.9302325581395349,0.8730158730158731
BorutaShap,"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)","{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},0.43736910820007324,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)","{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},0.44703221321105957,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)","{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},0.440049409866333,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)","{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},0.44557857513427734,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,DecisionTreeRegressor(),"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},0.520050048828125,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,DecisionTreeRegressor(),"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},0.5188267230987549,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,DecisionTreeRegressor(),"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},0.5243020057678223,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,DecisionTreeRegressor(),"{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},0.5265862941741943,0.9484126984126984,0.9312169312169312,0.9302325581395349,0.9076923076923077
BorutaShap,"DecisionTreeRegressor(max_depth=1, max_leaf_nodes=3)","{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},0.38490867614746094,0.9484126984126984,0.8994708994708995,0.9302325581395349,0.8730158730158731
BorutaShap,"DecisionTreeRegressor(max_depth=1, max_leaf_nodes=3)","{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},0.37729573249816895,0.9484126984126984,0.8994708994708995,0.9302325581395349,0.8730158730158731
BorutaShap,"DecisionTreeRegressor(max_depth=1, max_leaf_nodes=3)","{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},0.38044142723083496,0.9484126984126984,0.8994708994708995,0.9302325581395349,0.8730158730158731
BorutaShap,"DecisionTreeRegressor(max_depth=1, max_leaf_nodes=3)","{'n_trials': 100, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},0.3824799060821533,0.9484126984126984,0.8994708994708995,0.9302325581395349,0.8730158730158731
